"Afghanistan","Kabul","34.31N","069.12E"
"Albania","Tirana","41.20N","019.49E"
"Algeria","Algiers","36.50N","003.00E"
"American Samoa","Pago Pago","14.16S","170.43W"
"Andorra","Andorra la Vella","42.30N","001.30E"
"Angola","Luanda","08.50S","013.15E"
"Antigua and Barbuda","St John's","17.08N","061.50W"
"Argentina","Buenos Aires","34.40N","058.30W"
"Armenia","Yerevan","40.10N","044.31E"
"Aruba","Oranjestad","12.32N","070.02W"
"Australia","Canberra","35.18S","149.08E"
"Austria","Vienna","48.13N","016.22E"
"Azerbaijan","Baku","40.22N","049.53E"
"Bahamas","Nassau","25.05N","077.20W"
"Bahrain","Manama","26.12N","050.38E"
"Bangladesh","Dhaka","23.42N","090.22E"
"Barbados","Bridgetown","13.06N","059.37W"
"Belgium","Brussels","50.50N","004.21E"
"Belize","Belmopan","17.13N","088.48W"
"Benin","Porto Novo","06.30N","002.47E"
"Bermuda","Hamilton","32.18N","064.48W"
"Bhutan","Thimphu","27.32N","089.43E"
"Bolivia","La Paz","16.30S","068.10W"
"Bosnia-Herzegovina","Sarajevo","43.52N","018.26E"
"Botswana","Gaborone","24.45S","025.55E"
"Brazil","Brasília","15.45S","047.57W"
"British Virgin Islands","Road Town","18.28N","064.39W"
"Brunei","Bandar Seri Begawan","04.56N","114.58E"
"Bulgaria","Sofia","42.40N","023.18E"
"Burkina Faso","Ouagadougou","12.22N","001.31W"
"Burundi","Bujumbura","03.22S","029.19E"
"Byelarus","Minsk","53.51N","027.30E"
"Cambodia","Phnom Penh","11.35N","104.55E"
"Cameroon","Yaounde","03.52N","011.31E"
"Canada","Ottawa","45.25N","075.43W"
"Cape Verde","Cidade de Praia","39.03N","027.59W"
"Central African Republic","Bangui","04.23N","018.37E"
"Chad","N'djaména","12.10N","014.59E"
"Chile","Santiago","50.46S","075.26W"
"China","Beijing","39.55N","116.26E"
"Colombia","Bogotá","04.38N","074.05W"
"Comoros","Moroni","11.40S","043.16E"
"Congo","Brazzaville","04.14S","015.14E"
"Cook Islands","Avarua","21.12S","159.46W"
"Costa Rica","San José","09.59N","084.04W"
"Côte D'ivoire","Yamoussoukro","06.49N","005.17W"
"Croatia","Zagreb","45.48N","015.58E"
"Cuba","Havana","23.07N","082.25W"
"Cyprus","Nicosia","35.09N","033.21E"
"Czech Republic","Prague","50.06N","014.26E"
"Denmark","Copenhagen","55.43N","012.34E"
"Djibouti","Djibouti","11.30N","004.06E"
"Dominica","Roseau","15.18N","061.23W"
"Dominican Republic","Santo Domingo","18.30N","069.57W"
"Ecuador","Quito","00.14S","078.30W"
"Egtpt","Cairo","30.03N","031.15E"
"El Salvador","San Salvador","13.40N","089.10W"
"Equatorial Guinea","Malabo","03.45N","008.48E"
"Eritrea","Asmera","15.20N","038.58E"
"Estonia","Tallinn","59.22N","024.48E"
"Ethiopia","Addis Ababa","09.03N","038.42E"
"Fiji","Suva","18.08S","178.25E"
"Finland","Helsinki","60.08N","025.00E"
"France","Paris","48.50N","002.20E"
"French Guiana","Cayenne","04.55N","052.18W"
"French Polynesia","Papeete","17.32S","149.34W"
"Gabon","Libreville","00.30N","009.25E"
"Gambia","Banjul","13.28N","016.39W"
"Georgia","Tbilisi","41.43N","044.48E"
"Germany","Berlin","52.32N","013.25E"
"Ghana","Accra","05.33N","000.15W"
"Greece","Athens","38.00N","023.44E"
"Greenland","Godthåb","64.15N","051.35W"
"Grenada","St George's","12.04N","061.44W"
"Guadeloupe","Basse-Terre","16.00N","061.43W"
"Guam","Agaña","13.28N","144.45E"
"Guatemala","Guatemala City","14.38N","090.22W"
"Guinea","Conakry","09.31N","013.43W"
"Guinea-Bissau","Bissau","11.52N","015.39W"
"Guyana","Georgetown","06.46N","058.10W"
"Haiti","Port-au-Prince","18.32N","072.20W"
"Honduras","Tegucigalpa","14.05N","087.14W"
"Hong Kong","Victoria","22.16N","114.13E"
"Hungary","Budapest","47.30N","019.03E"
"Iceland","Reykjavík","06.09N","021.51W"
"India","New Delhi","28.37N","077.13E"
"Indonesia","Jakarta","06.08S","106.45E"
"Iran","Tehran","35.40N","051.26E"
"Iraq","Baghdad","33.20N","044.26E"
"Ireland","Dublin","53.20N","006.15W"
"Israel","Jerusalem","31.47N","035.13E"
"Italy","Rome","41.48N","012.36E"
"Jamaica","Kingston","17.58N","076.48W"
"Japan","Tokyo","35.40N","139.45E"
"Jordan","Amman","31.57N","035.56E"
"Kazakhstan","Alma-Ata","43.19N","076.55E"
"Kenya","Nairobi","01.17S","036.49E"
"Kiribati","Tarawa","01.30N","173.00E"
"Korea North","Pyongyang","39.00N","125.47E"
"Korea South","Seoul","37.30N","012.00E"
"Kuwait","Kuwait","29.20N","048.00E"
"Kyrgyzstan","Bishkek","40.07N","071.44E"
"Laos","Vientiane","17.59N","102.38E"
"Latvia","Riga","56.40N","106.10E"
"Lebanon","Beirut","33.52N","035.30E"
"Lesotho","Maseru","29.19S","027.29E"
